neg,neu,pos,compound,headline
0.0,1.0,0.0,0.0,Venezuela to raise minimum wage by 40%
0.055,0.842,0.103,0.157,Emmanuel Macron's new year's speech: 'France can't succeed without a strong Europe' - French president promises to listen to dissenting voices but appeals to Europeans not to give in to ‘nationalists and sceptics’
0.437,0.563,0.0,-0.7351,"Costa Rica plane crash kills 12, including 10 U.S. citizens"
0.16,0.84,0.0,-0.4588,"Iranian authorities temporarily blocked mobile phone access to Instagram and the messaging app Telegram to “maintain peace” amid anti-government protests, state TV reports."
0.0,0.761,0.239,0.296,UN chief issues 'red alert' for the world
0.452,0.548,0.0,-0.765,Congolese forces kill at least seven during anti-government protests: U.N.
0.128,0.872,0.0,-0.765,Nuclear reactor to shut down amid Germany's atomic phase-out: One of the reactors at the Grundremmingen plant in Bavaria will be switched off as part of Germany's plan to scale back nuclear power. The power station was the site of Germany's first fatal nuclear power plant accident.
0.0,0.763,0.237,0.4215,48 underage girls rescued from ashrams of a 'godman' in India
0.0,0.903,0.097,0.4019,"The number of Japanese people aged 20, the legal marker for adulthood in the country, will stand at 1.23 million on New Year's Day 2018, unchanged from a year earlier and equating to less than 1 percent of the population for the eighth straight year, a government estimate showed Sunday."
0.0,0.748,0.252,0.4019,Likud party calls for de-facto annexation of Israeli settlements
0.294,0.706,0.0,-0.6124,"200 people were arrested in Saturday’s protests in Tehran, including 40 “leaders"": Iranian officials"
0.0,0.847,0.153,0.2023,Likud top body votes to annex parts of the West Bank
0.141,0.859,0.0,-0.3818,"Israel plans to spend $72 million on public campaigns and lobbying efforts that will seek to discredit the Boycott, Divestment, and Sanctions movement (BDS)"
0.146,0.854,0.0,-0.4124,Canadian province Alberta to decriminalise drink driving - Studies have shown that fines & other punishment are less severe but far more likely to actually stick
0.0,1.0,0.0,0.0,"Venezuela raises minimum wage 40 percent, stoking world's fastest inflation"
0.141,0.593,0.267,0.4019,Protesters march toward residence of Iran’s Supreme Leader Ali Khamenei
0.0,0.881,0.119,0.3182,Likud (Netanyahu's party) voted Sunday night to endorse exercising Israel’s sovereignty over West Bank Area C - The Jerusalem Post
0.0,0.676,0.324,0.6461,New Year's Eve: 'Most technologically advanced' Sydney fireworks show wows 1 billion people worldwide
0.0,0.879,0.121,0.0258,Plane with 12 believed aboard crashes in Costa Rica
0.0,1.0,0.0,0.0,UAE men's handball team forfeits two games after Tunisian federation appoints female referees
0.184,0.816,0.0,-0.4019,"Woman rode motorbike naked, had sex in the street then punched a blind man"
0.417,0.583,0.0,-0.5106,"Iran protesters rally again, defying warning of crackdown"
0.0,0.929,0.071,0.3818,"First supermoon of 2018 coincides with New Year's Day. According to NASA, January's first full moon -- nicknamed a wolf moon -- will take place on January 1 and it will be a supermoon,14% bigger and 30% brighter."
0.066,0.934,0.0,-0.2263,"Tens of thousands of demonstrators thronged the streets of the Togolese capital on Saturday, the latest in a series of mass protests against the rule of President Faure Gnassingbe"
0.165,0.775,0.06,-0.6369,"Security forces fired shots in the air and dispersed a mass with tear gas Sunday in the Congolese capital Kinshasa, where the Catholic church had called banned marches against President Joseph Kabila staying in power"
0.22,0.611,0.17,-0.0795,"Iranian president Rouhani: Citizens have the right to express criticisms, but must not use violence or damage public property"
0.0,1.0,0.0,0.0,Venezuelans launch 'pork revolution' after Christmas sausage delivery never comes
0.0,1.0,0.0,0.0,Apple pays zero tax in NZ despite sales of $4.2 billion - NZ Herald
0.587,0.413,0.0,-0.8735,Rouhani: Iranians have right to protest but must avoid violence
0.286,0.455,0.259,0.1027,Head of telegram says service blocked after he refused to close channels promoting peaceful protest
0.343,0.657,0.0,-0.807,"Graham on North Korea, Iran: U.S. can deliver ""fatal blows to really bad actors in 2018"""
0.551,0.449,0.0,-0.5994,Police block anti-Kabila protest in Congo
0.5,0.5,0.0,-0.7184,Blast at funeral in eastern Afghanistan kills 15
0.0,0.761,0.239,0.296,UN chief issues 'red alert' for the world
0.0,1.0,0.0,0.0,Secret writing in mummy cases revealed: Researchers in London have developed scanning techniques that show what is written on the papyrus that mummy cases are made from.
0.237,0.763,0.0,-0.4767,Cracking down on smuggling eggs into Haiti — for people to eat
0.31,0.69,0.0,-0.6597,"Multiple officers shot, suspect at large, bomb squad, SWAT on scene in Douglas County"
0.0,1.0,0.0,0.0,America's Javelin Missiles Are Going to Ukraine
0.241,0.759,0.0,-0.4215,"Iran blocks Instagram, Telegram apps as government protesters will ‘pay the price’ for unrest"
0.259,0.49,0.252,-0.0258,Iran's Supreme Leader faces rare display of public anger
0.63,0.37,0.0,-0.7783,30 dead in Kenya bus collision
0.529,0.471,0.0,-0.5423,Iran protests: Telegram and Instagram restricted
0.0,0.811,0.189,0.4215,Red Cross sets up 'women's safety area' in Berlin for New Years Eve
0.149,0.851,0.0,-0.5423,"Philippines President Rodrigo Duterte is the Person of the Year for 2017, according to the Organized Crime and Corruption Reporting Project"
0.463,0.537,0.0,-0.7096,CEO says Iran blocking messaging app after issuing warning to protesters
0.305,0.571,0.124,-0.5859,Two killed in three days of stunning protests in Iran: What our correspondent saw there
0.231,0.769,0.0,-0.4588,Japan's need for foreign labor to get dire as 2050 nears
0.554,0.446,0.0,-0.7351,2 dead in anti-government protests in Congo's capital
0.297,0.703,0.0,-0.4215,Iran blocks Instagram and messaging app after third night of protests
0.264,0.736,0.0,-0.6486,Six dead as seaplane crashes into Sydney river ahead of New Year celebrations
0.277,0.723,0.0,-0.3182,Iran temporarily restricts access to social media
0.0,1.0,0.0,0.0,Muslim woman is running for president (Russia)
0.153,0.584,0.263,0.3612,Russia supreme court rules Kremlin critic cannot run for president
0.0,1.0,0.0,0.0,North Korea: South seizes second ship in oil supply row
0.0,0.602,0.398,0.6486,Gov't pledges economic support for Okinawan city accepting U.S. base
0.0,0.737,0.263,0.3612,China’s moon mission to boldly go a step further
0.2,0.8,0.0,-0.4588,"Iran's Revolutionary Guards have warned anti-government protesters they will face the nation's ""iron fist"" if political unrest continues."
0.219,0.781,0.0,-0.2023,Iran's government warns protestors: You will pay the price for massive unrest
0.248,0.752,0.0,-0.3182,Iran’s government warns protesters they will ‘pay the price’ for mass unrest
0.583,0.417,0.0,-0.7906,Six dead after seaplane crash near Sydney
0.0,1.0,0.0,0.0,Dalai Lama suggests inclusion of ancient Indian knowledge as academic subject
0.375,0.625,0.0,-0.7184,"Bosnia Charges 25 Muslim Wartime Officers, Four Bosnian Serbs With War Crimes"
0.0,1.0,0.0,0.0,Call for tech giants to face taxes over extremist content
0.559,0.441,0.0,-0.8225,Chinese jailed 30 years for killing 226 elephants
0.0,1.0,0.0,0.0,Men Resist Green Behavior as Unmanly
0.16,0.84,0.0,-0.2732,Clashes over US recognition of Jerusalem as Israeli capital claim 13th victim
0.0,1.0,0.0,0.0,France sets up tax dept to investigate Jews
0.101,0.756,0.143,0.128,Taiwan to bolster defenses as Chinese fighters and bombers pass offshore
0.239,0.761,0.0,-0.296,Thousands remain missing after Iraq's victories against IS
0.0,0.861,0.139,0.6705,"Theresa May told Cabinet ministers they must improve record on publishing data revealing how taxpayers' money is being spent...""falling behind in transparency commitments""...take ""immediate action"" to clear backlog of unpublished spending records & details of meetings & hospitality."
0.268,0.732,0.0,-0.3182,Iran warns of ‘iron fist’ response after third day of protests
0.0,1.0,0.0,0.0,FBI Russia probe helped by Australian diplomat tip-off
0.429,0.571,0.0,-0.6705,"U.S. Raid Killed Yemeni Civilians, Villagers Say"
0.213,0.787,0.0,-0.4019,Social media companies ignoring pleas over extremism could face tax hikes
0.341,0.659,0.0,-0.7351,North Korea vows to press on with nuclear agenda as Russia denies trade violations
0.0,0.812,0.188,0.7964,"Kim Jong Un orders up larger missile with re-entry ability - North Korean leader Kim Jong Un has ordered the preparation of an even larger ballistic missile capable of successfully re-entering the Earth's atmosphere, possibly for launch in September."
0.344,0.513,0.144,-0.5994,Popular Indian parody site closes after death threats from Hindu nationalists | World news
0.308,0.449,0.244,-0.0,Beijing may be starting to win its battle against smog
0.0,1.0,0.0,0.0,UK takes first shipment from sanction-hit Russian gas plant
0.147,0.853,0.0,-0.2263,South Korea seizes another ship suspected of transferring oil to North Korea
0.147,0.853,0.0,-0.2263,South Korea seizes another ship suspected of transferring oil to North Korea
0.673,0.327,0.0,-0.9371,"'Death to Khamenei': Violence erupts during anti-government protests in Iran, 3 killed"
0.54,0.46,0.0,-0.4019,Iran warns protesters will 'pay the price'
0.231,0.769,0.0,-0.34,Demonstrations in Iran continue in defiance of government warning
0.277,0.723,0.0,-0.6808,Sweden: Fourth woman gang raped in two months in migrant bastion of Malmö
0.0,1.0,0.0,0.0,What Russian Journalists Uncovered About Russian Election Meddling
0.34,0.66,0.0,-0.5574,Chinese ban on ivory sales goes into effect
0.478,0.522,0.0,-0.7506,"Media group: 81 reporters died, threats soared in 2017"
0.127,0.539,0.333,0.6369,"North Korea Kim Jong Un's best year yet, promises to shock world in 2018"
0.143,0.677,0.18,0.128,Ahwaz citizens defy security forces as Iran protests enter fourth day
0.174,0.826,0.0,-0.2263,Panamanian vessel probed over suspected oil supplies to North Korea.
0.0,0.728,0.272,0.7964,"Berlin Police: safe zones and unsafe zones” for women could result in “the end of equality, freedom of movement and self-determination”"
0.0,1.0,0.0,0.0,Iran demonstrators face 'iron fist'
0.0,1.0,0.0,0.0,"US, Turkey resume full visa services"
0.34,0.66,0.0,-0.7717,115 bodies of civilians & Syrian troops killed by ISIS recovered from 2 mass graves in Raqqa
0.25,0.75,0.0,-0.25,Greece moves to cancel Turkish soldier's asylum
0.421,0.579,0.0,-0.8402,2018 will be the 'worst for humanitarian crises' since the Second World War
0.5,0.5,0.0,-0.7184,North Korea: The risks of war in 2018
0.339,0.661,0.0,-0.4767,Donald Trump steps up pressure on Iran as protests continue
0.21,0.72,0.069,-0.5994,Russia’s FSB security service said on Saturday it had detained the individual suspected of organizing and carrying out a bombing that injured 13 people in a St. Petersburg supermarket this week.
0.512,0.488,0.0,-0.743,Rebels storm Indian paramilitary camp in Kashmir; 1 killed
0.0,1.0,0.0,0.0,Liberia president-elect calls for foreign investments
0.272,0.506,0.222,0.0516,Donald Trump Heats Up Feud With Iran By Praising Anti-Government Protests
0.0,0.842,0.158,0.3089,Corruption isn't a new problem in Mexico — it's core to its entire political system
0.383,0.457,0.16,-0.5994,Popular Indian parody site closes after death threats from Hindu nationalists
0.186,0.814,0.0,-0.1531,Seven Times Journalists Were Censored: 2017 in Review
0.213,0.787,0.0,-0.2263,UAE blocks Skype and other VOIP chat programs
0.307,0.693,0.0,-0.7351,North Korea vows to press on with nuclear agenda as Russia denies trade violations | World news
0.159,0.723,0.118,-0.34,"UK Minimum wage would be £26,000 if rate matched executive pay rises, GMB finds - GMB union highlights huge gap as top earnings soar ahead of worst paid workers’ wages"
0.133,0.867,0.0,-0.4588,Internet and phone services cut in DRC ahead of anti-government protests - Democratic Republic of Congo’s government clamps down on communications as activists plan demonstrations against President Joseph Kabila
0.055,0.831,0.113,0.3612,German Parliamentary President Wolfgang Schäuble opposes 'United States of Europe' - The Christian Democrat disputed calls by Social Democrat Martin Schulz for the quick creation of a new European order. He voiced a preference for changes suggested by French President Emmanuel Macron.
0.0,1.0,0.0,0.0,Merkel eyes social cohesion as she presses for new government
0.345,0.655,0.0,-0.7003,Telegram is shutting down a channel that called for violent protests against Iran’s government
0.0,1.0,0.0,0.0,Cyprus presidential race begins as nine candidates submit bids
0.06,0.94,0.0,-0.2732,Democratic Republic of Congo’s government ordered telecommunications providers to cut internet and SMS services across the country ahead of planned anti-government demonstrations. Grassroots Catholic activists have called for marches in major cities on Sunday
0.127,0.701,0.172,0.1779,Colombia ships 55 tons of ham to Venezuela amid shortage of holiday staple
0.31,0.69,0.0,-0.5574,General Court in Riyadh retracts ban on unveiled women
0.353,0.647,0.0,-0.5994,Russia says it has detained a suspect in St. Petersburg supermarket blast
0.246,0.522,0.231,-0.0516,China recovers $112 million in misused poverty relief funds
0.149,0.851,0.0,-0.7717,"Ticket touts will be banned from using automated software to bulk-buy concert & sports tickets in New Year: Government said it notified EC of plans to implement ban on use of ""bots"" which get around online protections & buy up tickets in larger numbers than technically permitted by sites."
0.067,0.827,0.106,0.25,"FDP leader wants Germany to deport minor refugees linked to crime - Germany should be able to deport unaccompanied minor refugees who commit crimes if their families can be identified, the head of the pro-business Free Democrats (FDP) said in remarks released ahead of publication on Sunday."
0.306,0.694,0.0,-0.296,ISIS mass graves discovered outside Raqqa
0.0,1.0,0.0,0.0,Extremists claim they blew up Iran oil pipeline
0.0,1.0,0.0,0.0,Spanish Court Nullifies Pro-BDS Resolution Passed by Local Council in Canary Islands
0.632,0.368,0.0,-0.8834,2 reportedly killed as mass protests in Iran turn violent
0.161,0.679,0.16,-0.0031,Protests in Iran stretch into third day despite government warnings
0.444,0.556,0.0,-0.7506,"Protests hit Tehran, two demonstrators reported killed in Iran town"
0.0,1.0,0.0,0.0,"Donald Trump becomes first president in 40 years not to visit Canada in his first year: At midnight Sunday, Donald Trump will become first U.S. president since Jimmy Carter not to visit Canada in his first calendar year in office, though former diplomats said they wouldn't make too much of absence."
0.0,0.756,0.244,0.4404,German police union chief slams NYE 'safe zone' for women
0.0,0.874,0.126,0.0772,Almost half of Germans want Merkel to quit now: survey
0.444,0.556,0.0,-0.7506,"Street protests hit Tehran, 2 demonstrators reported killed in western Iran"
0.243,0.662,0.096,-0.25,U.S. warns Iran 'the world is watching' as new protests challenge regime
0.0,0.849,0.151,0.4939,State-of-the-art Pyongyang kimchi factory gets Kim Jong Un's blessing. Kim wants to turn the art of kimchi-making into a science.
0.35,0.65,0.0,-0.6486,Revolutionary gaurd shoots 3 protestors dead as Iran demonstrations intensify
0.0,0.722,0.278,0.4019,Ukraine hostages freed after police storm post office
0.0,1.0,0.0,0.0,Woman reunited with family 40 years after dictatorship
0.103,0.897,0.0,-0.34,"A Malaysian state plans to run a conversion therapy course aimed at transgender women, sparking alarm among LGBT activists in the conservative Muslim-majority country."
0.36,0.64,0.0,-0.6705,20 killed in Saudi airstrike in Yemen’s Hudaydah province
0.0,1.0,0.0,0.0,China's Shenzhen Becomes First in the World to Electrify All Buses - The city shows us the future of transportation.
0.0,1.0,0.0,0.0,Sunni jihadist group Ansar al-Furqan claims it blew up Iran oil pipeline
0.0,1.0,0.0,0.0,Downer tip may have helped Russia probe into US election: NYT
0.0,1.0,0.0,0.0,"Iranian Antigovernment Rallies Continue, but Meet Opposition"
0.414,0.586,0.0,-0.8478,'Death to the dictator!' is new rallying cry in Iran as anti-government protests spread to capital
0.0,1.0,0.0,0.0,Armed man takes hostages inside Ukraine post office
0.401,0.599,0.0,-0.7717,Syrian civilians and troops killed by Islamic State found in mass graves
0.275,0.725,0.0,-0.2263,Clashes break out at Iran protests
0.355,0.645,0.0,-0.3182,"Iranian protests: World is watching response, US warns"
0.149,0.851,0.0,-0.1027,"Yemen is sliding into 'deepening catastrophe,' UN agencies warn"
0.218,0.782,0.0,-0.5994,North Korea vows to never give up nukes if US continues 'blackmail and war drills'
0.348,0.652,0.0,-0.5859,Iranians take to streets in biggest protest since crushed 2009 demonstrations
0.272,0.728,0.0,-0.6808,King of Jordan arrests own brothers for links to Saudi Arabia as regional tensions grow | World | News
0.0,1.0,0.0,0.0,Trump campaign aide prompted Russia investigation in drunken revelation: report
0.322,0.678,0.0,-0.2263,Iranian protests continue to escalate
0.355,0.645,0.0,-0.3182,Iran's government warns against 'illegal' gatherings after protests
0.265,0.735,0.0,-0.5574,Russian court upholds ban on Navalny running against Putin in 2018
0.606,0.394,0.0,-0.7717,Iran protests: Citizens told to avoid 'illegal gatherings'
0.0,0.781,0.219,0.4215,Russia's Putin urges 'pragmatic cooperation' with US in New Year greetings
0.639,0.361,0.0,-0.6486,Fire in Manchester apartment block
0.0,1.0,0.0,0.0,"Man with 'explosives' holds 11 people including children in post office standoff, in Ukraine"
0.192,0.808,0.0,-0.2263,Price protests turn political in Iran as rallies spread
0.0,1.0,0.0,0.0,Facebook Says it is Deleting Accounts at the Direction of the U.S. and Israeli Governments
0.18,0.82,0.0,-0.296,"Man screams ""lock him up"" at Trump bot in Disney World"
0.0,1.0,0.0,0.0,"In Cambodia, independent media — from news sites to movie studios — are being shut down as Chinese content moves in"
0.0,1.0,0.0,0.0,"China puts US$15,000 annual personal cap on overseas withdrawals"
0.0,1.0,0.0,0.0,"MI5 ‘asked paramilitary group to assassinate Irish prime minister’, newly disclosed documents reveal"
0.182,0.649,0.169,-0.128,"Iran Slams Trump for ‘Deceitful’ Support of Protesters - Foreign Ministry spokesman, Bahram Ghasemi, said the “Iranian people give no credit to the deceitful & opportunist remarks of U.S. officials or Mr. Trump.”"
0.137,0.559,0.304,0.4019,UK government accused of withholding £2.5bn of Olympic legacy assets from charities
0.0,1.0,0.0,0.0,China to cap overseas withdrawals using domestic bank cards
0.0,1.0,0.0,0.0,Cloud of corruption hangs over Bulgaria as it takes up EU presidency
0.0,1.0,0.0,0.0,Palestine recalls ambassador to Pakistan after his presence at Hafiz Saeed rally
0.0,0.769,0.231,0.4019,Putin asks Trump for ‘constructive Russian-U.S. dialogue’ in holiday message
0.0,1.0,0.0,0.0,Man with explosives holed up inside post office in Ukraine: police
0.367,0.633,0.0,-0.875,"The Iranian government has told people to avoid ""illegal gatherings"" in the wake of two days of angry anti-establishment protests in the country."
0.286,0.714,0.0,-0.5574,Russian court upholds ban barring opposition leader from 2018 election
0.481,0.519,0.0,-0.7506,Police arrest fifth man over suspected Islamist plot to attack UK
0.0,0.613,0.387,0.9118,UK NHS privatisation soars as private companies win 70% of clinical contracts in England - Richard Branson's Virgin Care won a record £1bn worth of contracts
0.05,0.95,0.0,-0.1779,"'Disaster-in-Chief': San Juan Major Blasts Trump As Slow Recovery Drags On 100 Days After Hurricane Maria. Carmen Yulin Cruz says the federal government's ""botched"" recovery effort has been ""insensible,"" ""man-made,"" and ""Trump admininstration-made."""
0.0,0.781,0.219,0.4215,Israel files notice to withdraw from UNESCO alongside the United States.
0.218,0.615,0.168,-0.4215,A Singaporean woman who flew to Taiwan to meet her online lover tried to commit suicide by jumping from a multistorey carpark when he failed to turn up
0.239,0.761,0.0,-0.891,"Around 6,000 Swiss VW owners seek damages in emissions scandal - Swiss consumer protection organization SKS has filed a claim on behalf of some 6,000 car owners seeking damages from Volkswagen AG and Swiss car dealer AMAG related to the “Dieselgate” emissions scandal."
0.355,0.561,0.084,-0.7003,"Morsi, 18 top Brotherhood leaders sentenced to 3 years in prison for 'insulting the judiciary' - Politics - Egypt"
0.0,1.0,0.0,0.0,CBI busts human trafficking racket that stranded 23 youth in France
0.381,0.619,0.0,-0.5106,UK police make 5th arrest in suspected extremist plot
0.121,0.879,0.0,-0.6908,"China’s foreign exchange regulator will cap overseas withdrawals using domestic Chinese bank cards at 100,000 yuan ($15,370) per year in an effort to target money laundering, terrorist financing and tax evasion, it said on Saturday."
0.0,1.0,0.0,0.0,"Chinese scientists hear sound in Mariana Trench, deepest part of world’s oceans: Team sent out and retrieved 10km acoustic probe that could pick up sounds 9.3km away in a first for China that could have military applications."
0.266,0.734,0.0,-0.6908,SWEDEN; Malmo police investigating the fourth gang rape over the last month and a half
0.236,0.551,0.213,-0.0772,"Estimated 20,000 British men interested in sexually abusing children"
0.0,0.865,0.135,0.1027,Nearly 30 percent of Marawi ground zero cleared of explosives
0.431,0.569,0.0,-0.6486,"'It's shocking, it's horrendous': Ellen MacArthur's fight against plastic"
0.0,1.0,0.0,0.0,Space 2018: biggest missions and rocket launches
0.0,1.0,0.0,0.0,A kidnapped crypto executive was reportedly released after paying a $1 million bitcoin ransom
0.118,0.882,0.0,-0.0191,North Korea: We're not backing down on nuclear development
0.229,0.629,0.143,-0.128,Grenfell Tower fire survivors miss out on extra money promised to cover Christmas costs
0.0,1.0,0.0,0.0,Sir Ringo: Beatles drummer knighted.
0.288,0.577,0.135,-0.4939,"Shocking - 51 girls held hostage and sexually abused in madrasa, rescued by police | Zee News"
0.247,0.753,0.0,-0.5574,"Road rage finally puts alleged 'Goodfellas' mobster, 82, behind bars | US news"
0.0,1.0,0.0,0.0,"Israel gives Nauru $72,000 ‘gift’ ahead of UN vote on Jerusalem"
0.097,0.903,0.0,-0.0191,North Korea: We're not backing down on nuclear development in 2018
0.0,0.927,0.073,0.296,Australian air force put on alert after Russian long-range bombers headed south: Russia thought to be extending its Pacific influence after nuclear-capable aircraft carry out military exercises in Indonesia.
0.079,0.859,0.063,-0.1154,MI5 plot to assassinate Irish PM: Declassified papers 'reveal how spy agency asked loyalist terror group to execute Charles Haughey… but they tipped him off instead'
0.189,0.811,0.0,-0.1027,US warns Iran: The world is watching
0.0,1.0,0.0,0.0,Kidnapped Crypto Exchange Executive Reportedly Paid $1 Million Ransom in Bitcoin
0.0,0.833,0.167,0.296,India miffed as Palestine envoy shares stage with Hafiz Saeed in Rawalpindi
0.429,0.571,0.0,-0.7184,Michael Oren says IDF should ‘shoot to kill’ suspected terrorists
0.275,0.725,0.0,-0.2263,Iranian cities hit by anti-government protests
0.0,1.0,0.0,0.0,Brussels homeless get cardboard tents
0.149,0.851,0.0,-0.1027,"Cryptocurrencies are ‘Ponzi schemes,’ Indian finance ministry warns investors"
0.0,1.0,0.0,0.0,Islamic State claims responsibility for Saint Petersburg supermarket bombing
0.0,0.833,0.167,0.296,India miffed as Palestine envoy shares stage with Hafiz Saeed in Rawalpindi
0.0,1.0,0.0,0.0,Iran marks end of 2009 vote unrest amid new demonstrations
0.0,0.829,0.171,0.357,"'Cunt' is officially not an offensive word, according to an Australian Appeals court."
0.189,0.811,0.0,-0.1027,US warns Iran: The world is watching
0.256,0.744,0.0,-0.4767,Islamic State claims responsibility for attack on Christians in Egypt
0.358,0.642,0.0,-0.7717,At least nine dead after gunman opens fire on Coptic church south of Cairo
0.0,0.625,0.375,0.5574,German-Arab students praise Hitler to Jewish classmate
0.0,1.0,0.0,0.0,IS says it was behind Saint Petersburg supermarket bombing
0.286,0.714,0.0,-0.5574,"Gaza rockets fired during ceremony for slain soldier, IDF retaliates"
0.192,0.808,0.0,-0.2263,Iranian protesters urge their government: Let go of Palestine
0.0,1.0,0.0,0.0,A record 3.6 million tourists visited Israel in 2017
0.0,1.0,0.0,0.0,A forest guard in southern India has made headlines by saving a baby elephant that fell into a ditch and became separated from its mother.
0.275,0.725,0.0,-0.2263,Wave of protests hits Iranian cities
0.22,0.78,0.0,-0.836,"BBC reports surge in calls to helpline after year of traumatic storylines - Action Line had 431,000 calls and online visits, including 127,000 in response to programmes dealing with sexual abuse"
0.413,0.459,0.128,-0.7351,"51 girls rescued from Uttar Pradesh's Shahadatganj madrasa, manager arrested on sexual assault charges"
0.246,0.609,0.145,-0.7003,"Thai fraudster sentenced to 13,275 years in prison - The court found he engaged in illicit lending and some 2,653 counts of fraud. Thanks to his confession, it halved his sentence to 6,637 years and six months."
0.075,0.779,0.145,0.4019,Berlin New Year's Eve party sets up 'safe zone' for women - Move comes two years after hundreds of women were groped and molested by gangs of men on New Year’s Eve in Cologne
0.403,0.597,0.0,-0.659,"No more arrests for flouting dress code, says Tehran police."
0.163,0.837,0.0,-0.7506,"Puerto Rico authorities said Friday that nearly half of power customers in the U.S. territory still lack electricity more than three months after Hurricane Maria, sparking outrage among islanders who accuse the government of mismanaging its response to the Category 4 storm."
0.213,0.709,0.078,-0.5574,"Mormon Cult Leaders Indicted for Forcing Almost Daily Sex Rituals With Underage Girls, Said God Would Destroy Their Families if They Refused"
0.388,0.612,0.0,-0.6908,"After Trump criticism, China denies selling oil illicitly to North Korea"
0.323,0.677,0.0,-0.9081,IS was defeated. Now who will pay to rebuild Iraq? - Three years of war devastated much of northern and western Iraq. Baghdad estimates $100 billion is needed nationwide to rebuild
0.0,1.0,0.0,0.0,The Year Russian L.G.B.T. Persecution Defied Belief
0.0,1.0,0.0,0.0,(Japan) Record 226 schoolteachers disciplined for sex violations：The Asahi Shimbun
0.247,0.753,0.0,-0.5574,"China ban on ivory sales begins Sunday, aims to curb elephant poaching"
0.0,0.645,0.355,0.765,Nice to meet you: amazing new animal species discovered in 2017 in pictures | Environment
0.241,0.759,0.0,-0.2263,Iran protesters voice opposition in Iranian cities
0.0,1.0,0.0,0.0,"Russia is providing ‘lifeline’ to North Korea by supplying fuel against U.N. sanctions, report says."
0.292,0.708,0.0,-0.836,Iran protests: Anti-government demonstrations spread as anger grows at rising prices and corruption. Mass protests without police permission are unusual in Iran and those taking part face arrest.
0.267,0.733,0.0,-0.8442,"Whole of England to be mapped with lasers to tackle flooding and illegal waste dumps - Data is to be made public to archaeologists, urban planners and even gamers"
0.13,0.651,0.219,0.128,Germany has ordered Amazon to stop taking advantage of people who can’t spell “Birkenstock”
0.063,0.814,0.123,0.3182,UK Top government adviser quits amid Brexit row and accuses Theresa May of 'allying with Ukip' - Europhile peer Lord Adonis says leaving the EU was a ‘dangerous populist and nationalist spasm worthy of Donald Trump’
0.078,0.815,0.107,0.2023,"UK: Theresa May's Infrastructure Czar Quits, Lashing Out at Brexit - ""Brexit is a nationalist spasm worthy of Donald Trump ... causing civil service nervous breakdown"""
0.0,1.0,0.0,0.0,Russian tankers 'fuelled North Korea'
0.367,0.633,0.0,-0.4404,Scale of attacks on children 'shocking'
0.275,0.725,0.0,-0.2263,Iran cities hit by anti-government protests
0.185,0.815,0.0,-0.3612,"Russian tankers have smuggled oil to North Korea, a breach of U.N. sanctions"
0.0,1.0,0.0,0.0,"Venezuela oil-backed cryptocurrency to launch in days, government says"
0.0,1.0,0.0,0.0,The Gambia set to rejoin the Commonwealth after Jammeh exit
0.192,0.808,0.0,-0.2263,Anti-governement protests hit Iran for 2nd day in a row
0.279,0.721,0.0,-0.4767,‘Nigerian prince’ email scammer arrested after an 18-month investigation
0.0,1.0,0.0,0.0,Citigroup fined $11 million for selling inaccurate ratings for almost 5 years
